Holdings details,,,,,,,,,
,,,,,,,,,
Small-Cap Growth ETF (VBK),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Equity,as of 02/29/2024,,,,,,,,
,,,,,,,,,
,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2117232,Boyd Gaming Corp,BYD,0.19%,"Hotels, Restaurants & Leisure",US,---,"$65,427,699.40 ","989,380"
,2919290,Light & Wonder Inc,LNW,0.19%,"Hotels, Restaurants & Leisure",US,---,"$65,369,794.31 ","650,381"
,BNG8Z81,Coherent Corp,COHR,0.19%,"Electronic Equipment, Instruments & Components",US,---,"$65,194,659.96 ","1,096,077"
,BP8S8J5,Lantheus Holdings Inc,LNTH,0.18%,Health Care Equipment & Supplies,US,---,"$64,660,362.34 ","988,993"
,BKY7X18,Five9 Inc,FIVN,0.18%,Software,US,---,"$64,022,123.00 ","1,049,543"
,2568131,Silicon Laboratories Inc,SLAB,0.18%,Semiconductors & Semiconductor Equipment,US,---,"$63,240,204.30 ","459,795"
,BKS3RS7,10X Genomics Inc,TXG,0.18%,Life Sciences Tools & Services,US,---,"$63,237,170.48 ","1,355,857"
,2814005,Skyline Champion Corp,SKY,0.18%,Household Durables,US,---,"$62,841,159.36 ","749,984"
,BZBZ020,Herc Holdings Inc,HRI,0.18%,Trading Companies & Distributors,US,---,"$61,635,437.68 ","388,426"
,2948089,Woodward Inc,WWD,0.18%,Aerospace & Defense,US,---,"$61,341,574.60 ","433,540"
,2471949,Itron Inc,ITRI,0.17%,"Electronic Equipment, Instruments & Components",US,---,"$61,004,756.40 ","658,230"
,BMDX9Z7,DoubleVerify Holdings Inc,DV,0.17%,Software,US,---,"$60,785,063.99 ","1,967,791"
,B142B38,CommVault Systems Inc,CVLT,0.17%,Software,US,---,"$60,548,060.20 ","632,620"
,2580555,Merit Medical Systems Inc,MMSI,0.17%,Health Care Equipment & Supplies,US,---,"$60,394,062.60 ","792,573"
,BYMWL19,Glaukos Corp,GKOS,0.17%,Health Care Equipment & Supplies,US,---,"$59,307,461.40 ","669,460"
,BSS6HY8,Workiva Inc. Class A,WK,0.17%,Software,US,---,"$59,297,237.04 ","688,542"
,2330318,Exponent Inc,EXPO,0.17%,Professional Services,US,---,"$59,110,933.73 ","730,757"
,2350383,Franklin Electric Co Inc,FELE,0.17%,Machinery,US,---,"$59,005,408.88 ","567,578"
,2133045,Power Integrations Inc,POWI,0.17%,Semiconductors & Semiconductor Equipment,US,---,"$58,670,589.42 ","821,027"
,B3F1XM1,Grand Canyon Education Inc,LOPE,0.17%,Diversified Consumer Services,US,---,"$58,431,351.60 ","433,467"
,BJ62Z18,Ultragenyx Pharmaceutical Inc,RARE,0.17%,Biotechnology,US,---,"$58,359,348.12 ","1,128,371"
,BYXR425,RH,RH,0.17%,Specialty Retail,US,---,"$58,286,127.20 ","212,413"
,BMFND53,Alpha Metallurgical Resources Inc,AMR,0.17%,Metals & Mining,US,---,"$58,030,104.00 ","153,824"
,2503206,Lancaster Colony Corp,LANC,0.17%,Food Products,US,---,"$57,713,919.48 ","278,919"
,BV0LCR0,Shake Shack Inc,SHAK,0.16%,"Hotels, Restaurants & Leisure",US,---,"$57,641,494.32 ","542,151"
,BF2GC59,Magnolia Oil & Gas Corp,MGY,0.16%,"Oil, Gas & Consumable Fuels",US,---,"$57,605,158.80 ","2,539,910"
,BF0SR29,Hamilton Lane Inc,HLNE,0.16%,Capital Markets,US,---,"$57,589,809.75 ","501,435"
,2614487,Insmed Inc,INSM,0.16%,Biotechnology,US,---,"$57,389,325.84 ","2,070,322"
,BZ1LFG7,Roku Inc,ROKU,0.16%,Entertainment,US,---,"$57,059,563.86 ","903,127"
,BPF0BB7,Freshworks Inc,FRSH,0.16%,Software,US,---,"$56,660,354.52 ","2,772,033"
,2206721,Coca-Cola Consolidated Inc,COKE,0.16%,Beverages,US,---,"$56,021,663.20 ","66,629"
,2590930,Middleby Corp/The,MIDD,0.16%,Machinery,US,---,"$54,727,995.84 ","359,674"
,2049175,Advanced Energy Industries Inc,AEIS,0.16%,"Electronic Equipment, Instruments & Components",US,---,"$54,577,261.20 ","539,301"
,B19FQ48,Amicus Therapeutics Inc,FOLD,0.16%,Biotechnology,US,---,"$54,376,312.04 ","4,241,522"
,BFFK0X2,Essential Properties Realty Trust Inc,EPRT,0.15%,Diversified REITs,US,---,"$53,975,226.47 ","2,259,323"
,2401195,Haemonetics Corp,HAE,0.15%,Health Care Equipment & Supplies,US,---,"$53,642,416.42 ","735,029"
