Holdings details

Value ETF (VTV)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B03GQS4,Digital Realty Trust Inc,DLR,0.23%,Specialized REITs,US,---,"$371,645,110.70","2,531,470"
,2138158,Sempra,SRE,0.23%,Multi-Utilities,US,---,"$371,076,282.80","5,256,038"
,2026242,American Electric Power Co Inc,AEP,0.23%,Electric Utilities,US,---,"$366,700,269.81","4,304,499"
,2130109,ONEOK Inc,OKE,0.22%,"Oil, Gas & Consumable Fuels",US,---,"$365,678,826.48","4,867,929"
,2967181,Williams Cos Inc/The,WMB,0.22%,"Oil, Gas & Consumable Fuels",US,---,"$364,991,760.84","10,155,586"
,2445063,Humana Inc,HUM,0.22%,Health Care Providers & Services,US,---,"$360,338,801.68","1,028,599"
,B1Z77F6,Bank of New York Mellon Corp/The,BK,0.22%,Capital Markets,US,---,"$359,919,321.62","6,416,818"
,2689560,PG&E Corp,PCG,0.22%,Electric Utilities,US,---,"$354,768,047.56","21,256,324"
,2250687,DR Horton Inc,DHI,0.22%,Household Durables,US,---,"$353,717,157.44","2,366,951"
,2807061,Centene Corp,CNC,0.22%,Health Care Providers & Services,US,---,"$350,226,263.09","4,465,463"
,2019952,Allstate Corp/The,ALL,0.21%,Insurance,US,---,"$348,897,836.96","2,187,173"
,2089212,AMETEK Inc,AME,0.21%,Electrical Equipment,US,---,"$347,506,319.16","1,928,662"
,BKB0C57,Ferguson PLC,FERG,0.21%,Trading Companies & Distributors,US,---,"$345,256,405.80","1,632,804"
,B0J7D57,Ameriprise Financial Inc,AMP,0.21%,Capital Markets,US,---,"$344,536,126.08","845,778"
,2491839,Kimberly-Clark Corp,KMB,0.21%,Household Products,US,---,"$342,266,596.77","2,824,681"
,2769796,Fidelity National Information Services Inc,FIS,0.21%,Financial Services,US,---,"$341,558,856.65","4,936,535"
,2868165,Sysco Corp,SYY,0.21%,Consumer Staples Distribution & Retail,US,---,"$341,187,661.38","4,213,754"
,2511920,Lennar Corp,LEN,0.21%,Household Durables,US,---,"$340,922,039.92","2,150,792"
,BK9DTN5,L3Harris Technologies Inc,LHX,0.21%,Aerospace & Defense,US,---,"$335,229,012.94","1,583,809"
,2655408,Occidental Petroleum Corp,OXY,0.21%,"Oil, Gas & Consumable Fuels",US,---,"$334,467,799.60","5,518,360"
,2795393,Cencora Inc,COR,0.21%,Health Care Providers & Services,US,---,"$333,748,604.00","1,416,590"
,2542049,Dominion Energy Inc,D,0.21%,Multi-Utilities,US,---,"$333,731,529.16","6,977,452"
,2257019,Cognizant Technology Solutions Corp,CTSH,0.20%,IT Services,US,---,"$331,126,514.28","4,190,414"
,2819118,Prudential Financial Inc,PRU,0.20%,Insurance,US,---,"$328,890,403.80","3,017,620"
,BHXCF84,Dow Inc,DOW,0.20%,Chemicals,US,---,"$327,547,102.08","5,861,616"
,BY7QL61,Johnson Controls International plc,JCI,0.20%,Building Products,US,---,"$327,362,256.99","5,523,237"
,BK531S8,Otis Worldwide Corp,OTIS,0.20%,Machinery,US,---,"$325,202,673.00","3,412,410"
,2170473,Constellation Brands Inc,STZ,0.20%,Beverages,US,---,"$324,155,570.88","1,304,344"
,2573209,MetLife Inc,MET,0.20%,Insurance,US,---,"$323,580,279.66","4,639,809"
,2240202,Cummins Inc,CMI,0.20%,Machinery,US,---,"$318,337,232.08","1,185,128"
,BK73B42,Corteva Inc,CTVA,0.19%,Chemicals,US,---,"$315,172,590.00","5,888,875"
,2262530,Republic Services Inc,RSG,0.19%,Commercial Services & Supplies,US,---,"$313,751,286.00","1,708,885"
,2310194,Electronic Arts Inc,EA,0.19%,Entertainment,US,---,"$313,466,933.56","2,247,397"
,BL6JPG8,GE HealthCare Technologies Inc,GEHC,0.19%,Health Care Equipment & Supplies,US,---,"$312,315,980.48","3,421,516"
,2367026,General Mills Inc,GIS,0.19%,Food Products,US,---,"$310,912,950.20","4,844,390"
,BL5GZ82,Ingersoll Rand Inc,IR,0.19%,Machinery,US,---,"$308,586,443.31","3,378,807"
,2636607,Newmont Corp,NEM,0.19%,Metals & Mining,US,---,"$300,993,687.50","9,631,798"
,2670519,Exelon Corp,EXC,0.18%,Electric Utilities,US,---,"$297,799,183.36","8,309,129"
,2209106,Colgate-Palmolive Co,CL,0.18%,Household Products,US,---,"$296,834,979.00","3,430,825"
,2779201,Schlumberger NV,SLB,0.18%,Energy Equipment & Services,US,---,"$287,443,206.63","5,947,511"
,2712013,Global Payments Inc,GPN,0.17%,Financial Services,US,---,"$281,364,046.50","2,169,345"
,2698470,PPG Industries Inc,PPG,0.17%,Chemicals,US,---,"$278,308,428.00","1,965,455"
,BBM5MD6,CDW Corp/DE,CDW,0.17%,"Electronic Equipment, Instruments & Components",US,---,"$274,852,594.14","1,116,334"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.17%,"Oil, Gas & Consumable Fuels",US,---,"$274,619,993.26","15,791,834"
