Date,Open,High,Low,Close,Adj Close,Volume,,,,
4/25/2018,130.880005,131.889999,128.399994,130.089996,114.730583,1256300,,,,
5/2/2018,129.960007,132.610001,128.240005,132.449997,116.81192,827900,,,,
5/9/2018,132.75,134.740005,132.339996,133.839996,118.037811,1033400,,,,
5/16/2018,133.949997,137.240005,133.949997,135.850006,119.810524,1197400,,,,
5/23/2018,135.5,136.089996,134.25,135.210007,119.246078,1019800,,,,
5/30/2018,135.830002,137.970001,135.539993,137.970001,121.680214,1013200,,,,
6/6/2018,138.020004,139.940002,137.869995,139.509995,123.038376,1003900,,,,
6/13/2018,139.600006,139.600006,137.539993,138.979996,122.570969,806800,,,,
6/20/2018,139.399994,139.880005,136.039993,137.050003,120.86882,1347900,,,,
6/27/2018,137.279999,137.710007,134.630005,136.479996,120.812866,1672800,,,,
7/4/2018,137.130005,140.270004,136.440002,139.589996,123.565872,887100,,,,
7/11/2018,138.899994,139.369995,137.490005,138.380005,122.494736,1171700,,,,
7/18/2018,138.429993,139.860001,137.910004,138.330002,122.450485,925900,,,,
7/25/2018,138.330002,140.160004,137.699997,139.169998,123.194107,1859200,,,,
8/1/2018,139.059998,141.169998,137.990005,140.580002,124.442192,1198300,,,,
8/8/2018,140.509995,140.940002,138.419998,140.139999,124.052719,1001700,,,,
8/15/2018,139.669998,143.059998,137.990005,142.720001,126.33651,1033100,,,,
8/22/2018,142.610001,143.520004,141.720001,142.679993,126.30114,1093700,,,,
8/29/2018,142.75,143.179993,141.289993,142,125.699181,701900,,,,
9/5/2018,141.679993,142.759995,140.589996,141.369995,125.141548,998800,,,,
9/12/2018,141.229996,142.160004,140.460007,141.419998,125.185791,1709200,,,,
9/19/2018,141.460007,142.889999,140.559998,140.759995,124.601555,858100,,,,
9/26/2018,140.850006,141.100006,137.240005,137.419998,121.644989,1683200,,,,
10/3/2018,137.960007,138.820007,135.309998,135.649994,120.755249,1550000,,,,
10/10/2018,135.360001,135.429993,127.870003,132.619995,118.057945,2203900,,,,
10/17/2018,132.440002,132.550003,125.529999,127.550003,113.544662,1756200,,,,
10/24/2018,127.470001,127.709999,122.57,126.480003,112.592148,1916800,,,,
10/31/2018,127.589996,130.720001,126.650002,130.509995,116.179642,1595800,,,,
11/7/2018,131.25,132.520004,128.649994,128.789993,114.648499,1094900,,,,
11/14/2018,129.800003,130.149994,125.129997,125.5,111.719772,1515600,,,,
11/21/2018,126.050003,128.520004,125.940002,127.040001,113.09063,1188900,,,,
11/28/2018,127.370003,131.710007,125.779999,125.959999,112.129257,1583400,,,,
12/5/2018,124.370003,126.410004,120.980003,122.309998,108.88002,2749700,,,,
12/12/2018,123.57,124.589996,116.970001,117.449997,104.55365,3290600,,,,
12/19/2018,117.5,118.650002,107.879997,107.940002,96.087883,4607500,,,,
12/26/2018,108.099998,114.760002,107.57,114.059998,102.285255,6312300,,,,
1/2/2019,112.599998,119.699997,112.18,119.669998,107.316109,2453700,,,,
1/9/2019,120.07,121.919998,119.699997,121.639999,109.082748,1718700,,,,
1/16/2019,121.760002,125.540001,121.760002,123.440002,110.696907,2690000,,,,
1/23/2019,123.760002,125.75,122.32,125.339996,112.400772,1779900,,,,
1/30/2019,125.800003,128.860001,124.900002,128.729996,115.440811,1904400,,,,
2/6/2019,128.619995,129.990005,126.830002,129.800003,116.400352,1626300,,,,
2/13/2019,130.100006,132.550003,129.470001,132.199997,118.552574,1092300,,,,
2/20/2019,132.259995,134.149994,132,132.110001,118.47187,1404100,,,,
2/27/2019,131.740005,133.220001,131.169998,131.589996,118.005562,1223900,,,,
3/6/2019,131.550003,131.580002,127.529999,129.970001,116.552788,1186400,,,,
3/13/2019,130.369995,131.580002,129.809998,130.089996,116.660423,1226500,,,,
3/20/2019,129.979996,130.729996,125.559998,127.989998,114.777191,1377200,,,,
3/27/2019,128.050003,130.679993,126.940002,130.059998,116.633507,1358800,,,,
4/3/2019,130.929993,132.679993,130.289993,130.850006,117.8853,1338900,,,,
4/10/2019,131.059998,133.669998,131.050003,133.139999,119.94838,1061300,,,,
4/17/2019,133.580002,133.580002,131.009995,133.240005,120.03849,923700,,,,
4/24/2019,133.309998,134.369995,131.509995,133.759995,120.506958,1333200,,,,
5/1/2019,134.080002,134.910004,131.5,132.440002,119.317772,1210200,,,,
5/8/2019,132.25,132.820007,127.830002,129.580002,116.741127,1300200,,,,
5/15/2019,128.779999,131.190002,127.709999,129.589996,116.750145,810300,,,,
5/22/2019,129.110001,129.270004,125.629997,125.660004,113.209526,807300,,,,
5/29/2019,125.080002,127.230003,122.480003,127.120003,114.524872,1429500,,,,
6/5/2019,127.529999,129.470001,125.959999,128.190002,115.488831,1061900,,,,
6/12/2019,128.190002,130.350006,127.620003,129.529999,116.696083,1001400,,,,
6/19/2019,129.600006,131.100006,127.989998,128.110001,115.416779,1390000,,,,
6/26/2019,128.520004,132.440002,127.339996,130.470001,117.542961,1414300,,,,
7/3/2019,130.779999,131.919998,129.800003,130.5,118.25547,826500,,,,
7/10/2019,131.070007,131.470001,129.350006,130.639999,118.382317,1213700,,,,
7/17/2019,130.639999,130.729996,128.979996,130.550003,118.300781,1018600,,,,
7/24/2019,130.339996,132.679993,130.339996,132.679993,120.230919,1124400,,,,
7/31/2019,132.630005,133.220001,122.790001,125.040001,113.307777,1702900,,,,
8/7/2019,123.849998,127.599998,122.800003,125.279999,113.525246,1301800,,,,
8/14/2019,123.379997,125.489998,120.610001,123.879997,112.256622,1603600,,,,
8/21/2019,124.970001,125.5,120.809998,120.809998,109.474655,1175900,,,,
8/28/2019,120.629997,124.959999,120.370003,122.910004,111.377647,1164900,,,,
9/4/2019,123.989998,129.690002,123.699997,129.690002,117.521477,1653100,,,,
9/11/2019,130,132.820007,129,130.850006,118.572639,2359200,,,,
9/18/2019,130.809998,131.259995,128.039993,128.289993,116.67646,1551900,,,,
9/25/2019,128.300003,130.100006,126.239998,126.5,115.048492,1736000,,,,
10/2/2019,125.709999,126.699997,122.989998,123.739998,112.538345,1475600,,,,
10/9/2019,124.599998,128.429993,123.779999,127.949997,116.367249,1625700,,,,
10/16/2019,127.730003,130.990005,127.629997,130.300003,118.504517,1482300,,,,
10/23/2019,130.380005,132.699997,129.699997,132.399994,120.414391,1402400,,,,
10/30/2019,132.389999,135.369995,130.210007,134.410004,122.242447,1555300,,,,
11/6/2019,134.350006,135.339996,133.270004,133.75,121.642197,1166400,,,,
11/13/2019,133.119995,134.470001,132.589996,133.710007,121.605827,1127400,,,,
11/20/2019,133.259995,134.919998,132.050003,134.630005,122.44252,1501600,,,,
11/27/2019,135.080002,135.410004,131.339996,132.419998,120.432579,1034800,,,,
12/4/2019,133.059998,135.399994,133,134.679993,122.487968,1321700,,,,
12/11/2019,134.830002,137,134.339996,136.970001,124.570702,1490200,,,,
12/18/2019,137.300003,138.75,136.809998,136.960007,124.561623,1328600,,,,
12/25/2019,137.279999,137.619995,136.309998,137.070007,125.586121,1253100,,,,
1/1/2020,137.720001,137.75,135.119995,135.729996,124.358376,1511000,,,,
1/8/2020,135.800003,137.600006,135.300003,137.089996,125.604408,1811300,,,,
1/15/2020,136.970001,139.410004,136.910004,137.610001,126.080864,1513800,,,,
1/22/2020,138.029999,138.339996,133.979996,135.470001,124.120178,1398000,,,,
1/29/2020,135.850006,136.089996,132.089996,135,123.68956,1594800,,,,
2/5/2020,136.330002,138.190002,134.979996,136.889999,125.421204,1419300,,,,
2/12/2020,137.589996,138.009995,136.330002,136.970001,125.494507,875000,,,,
2/19/2020,137.5,138.070007,127.75,127.900002,117.184387,2464600,,,,
2/26/2020,128.5,129.210007,116.370003,119.900002,109.85466,5427700,,,,
3/4/2020,121.940002,123.739998,103.32,108.739998,99.629646,5816100,,,,
3/11/2020,106.400002,106.410004,82.019997,87.300003,80.291199,10551000,,,,
3/18/2020,83.540001,84.809998,73.32,83.279999,76.593925,11543000,,,,
3/25/2020,84.239998,92.489998,82.260002,88.800003,81.670769,7769200,,,,
4/1/2020,85.410004,93.769997,80.010002,89.059998,81.909889,6190200,,,,
4/8/2020,90.32,99.480003,89.599998,95.940002,88.237526,4524600,,,,
4/15/2020,93.080002,95.559998,89.040001,90.480003,83.215889,5594900,,,,
4/22/2020,92.110001,100.980003,90.839996,99.370003,91.392174,3996800,,,,
